invoice_number,order_date,store_number,county_number,category_number,vendor_number,item_number,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,etl_date
INV-15148000018,2018-10-19,9001,52,10123000,125,27476,6,750,25.0,37.5,12,450.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-15170400076,2018-10-22,2651,9,10311000,300,36908,6,1750,7.47,11.21,6,67.26,10.5,2.77,2025-02-25T13:13:16.885776
INV-15204600032,2018-10-23,5110,87,10311000,301,38178,6,1750,19.0,28.5,2,57.0,3.5,0.92,2025-02-25T13:13:16.885776
INV-15238500008,2018-10-24,2190,77,10311000,300,36908,6,1750,7.47,11.21,6,67.26,10.5,2.77,2025-02-25T13:13:16.885776
INV-15272100064,2018-10-25,3731,82,10711000,112,63752,6,1750,7.52,11.28,6,67.68,10.5,2.77,2025-02-25T13:13:16.885776
INV-15299100002,2018-10-26,9002,82,10311000,306,37641,6,500,10.0,15.0,6,90.0,3.0,0.79,2025-02-25T13:13:16.885776
INV-15318900016,2018-10-29,2190,77,10124000,370,15621,10,600,11.88,17.82,2,35.64,1.2,0.31,2025-02-25T13:13:16.885776
INV-15352100001,2018-10-30,2663,77,10511000,85,52806,12,750,6.66,9.99,12,119.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-15387000020,2018-10-31,2551,59,10112000,434,18196,12,750,7.5,11.25,12,153.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-15416300014,2018-11-01,2190,77,10112000,65,19486,6,750,20.99,31.49,1,31.49,0.75,0.19,2025-02-25T13:13:16.885776
INV-15443800017,2018-11-02,4617,77,10311000,421,36978,6,1750,6.92,10.38,6,62.28,10.5,2.77,2025-02-25T13:13:16.885776
INV-15462900024,2018-11-05,2190,77,10121000,65,10626,12,750,8.0,12.0,2,24.0,1.5,0.39,2025-02-25T13:13:16.885776
INV-15503100008,2018-11-06,5309,77,10511000,115,53214,24,375,3.22,4.83,24,115.92,9.0,2.37,2025-02-25T13:13:16.885776
INV-15537600001,2018-11-07,2190,77,10411000,370,32234,24,375,3.39,5.09,24,122.16,9.0,2.37,2025-02-25T13:13:16.885776
INV-15573900014,2018-11-08,2502,77,10112000,65,19226,6,750,20.0,30.0,6,180.0,4.5,1.18,2025-02-25T13:13:16.885776
INV-15601900007,2018-11-09,4511,77,10322000,260,64759,24,200,5.0,7.5,24,180.0,4.8,1.26,2025-02-25T13:13:16.885776
INV-15622700011,2018-11-12,2190,77,10122000,2600,5318,6,750,23.49,35.24,6,211.44,4.5,1.18,2025-02-25T13:13:16.885776
INV-15657700004,2018-11-13,5566,77,10121000,2600,11294,24,375,8.0,12.0,24,288.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-15690100001,2018-11-14,2190,77,10511000,205,52594,24,375,3.49,5.24,24,125.76,9.0,2.37,2025-02-25T13:13:16.885776
INV-15722000005,2018-11-15,2190,77,10311000,3000,36886,12,750,3.31,4.97,12,59.64,9.0,2.37,2025-02-25T13:13:16.885776
INV-15749500013,2018-11-16,5144,77,10816000,4210,86887,12,1000,12.97,19.46,12,233.52,12.0,3.17,2025-02-25T13:13:16.885776
INV-15769100005,2018-11-19,2636,77,10121000,1150,11788,6,1750,10.45,15.68,24,376.32,42.0,11.09,2025-02-25T13:13:16.885776
INV-15808800036,2018-11-20,4361,77,10112000,650,19061,12,500,5.4,8.1,4,32.4,2.0,0.52,2025-02-25T13:13:16.885776
INV-15844300029,2018-11-21,3756,14,10311000,3010,38177,12,1000,12.67,19.01,5,95.05,5.0,1.32,2025-02-25T13:13:16.885776
INV-15862000013,2018-11-26,5444,64,10511000,2050,52598,6,1750,12.99,19.49,6,116.94,10.5,2.77,2025-02-25T13:13:16.885776
INV-15895600002,2018-11-27,5425,77,17011000,2600,68042,12,750,13.0,19.5,2,39.0,1.5,0.39,2025-02-25T13:13:16.885776
INV-15926300003,2018-11-28,2630,77,10815000,4340,86250,12,750,2.67,4.01,12,48.12,9.0,2.37,2025-02-25T13:13:16.885776
INV-15957900003,2018-11-29,2673,77,10621000,350,43036,12,750,8.26,12.39,12,148.68,9.0,2.37,2025-02-25T13:13:16.885776
INV-15990200013,2018-11-30,5129,77,10912000,1540,77284,12,750,6.65,9.98,12,119.76,9.0,2.37,2025-02-25T13:13:16.885776
INV-16014600024,2018-12-03,2190,77,10322000,3950,35964,12,750,9.96,14.94,1,14.94,0.75,0.19,2025-02-25T13:13:16.885776
INV-16051100001,2018-12-04,3881,64,10121000,2600,11297,12,1000,18.89,28.34,24,680.16,24.0,6.34,2025-02-25T13:13:16.885776
INV-16090800003,2018-12-05,5385,77,10816000,4210,64858,1,3000,30.0,45.0,3,135.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-16126700015,2018-12-06,4829,77,10623000,650,44487,12,1000,8.39,12.59,12,151.08,12.0,3.17,2025-02-25T13:13:16.885776
INV-16154200023,2018-12-07,4617,77,10312000,2600,77852,12,750,8.25,12.38,2,24.76,1.5,0.39,2025-02-25T13:13:16.885776
INV-16177500022,2018-12-10,2190,77,10121000,650,15246,12,750,4.67,7.01,2,14.02,1.5,0.39,2025-02-25T13:13:16.885776
INV-16216600125,2018-12-11,3385,57,10311000,3800,37347,12,1000,4.29,6.44,12,77.28,12.0,3.17,2025-02-25T13:13:16.885776
INV-16251300070,2018-12-12,2551,59,10121000,2600,11294,24,375,8.0,12.0,7,84.0,2.62,0.69,2025-02-25T13:13:16.885776
INV-16285200032,2018-12-13,5050,91,10816000,4210,27773,12,500,5.0,7.5,1,7.5,0.5,0.13,2025-02-25T13:13:16.885776
INV-16314400083,2018-12-14,2465,31,10625000,3700,42714,24,375,3.99,5.99,3,17.97,1.12,0.29,2025-02-25T13:13:16.885776
INV-16336800002,2018-12-17,2190,77,10311000,2550,37888,6,1750,10.0,15.0,6,90.0,10.5,2.77,2025-02-25T13:13:16.885776
INV-16379300038,2018-12-18,4361,77,10311000,3000,36903,48,200,1.13,1.7,12,20.4,2.4,0.63,2025-02-25T13:13:16.885776
INV-16422700014,2018-12-19,4829,77,10312000,2600,77674,12,750,8.25,12.38,12,148.56,9.0,2.37,2025-02-25T13:13:16.885776
INV-16461100008,2018-12-20,5323,86,10312000,3800,41694,12,1000,7.5,11.25,1,11.25,1.0,0.26,2025-02-25T13:13:16.885776
INV-16491400003,2018-12-21,5524,64,10312000,2590,41279,12,750,4.48,6.72,2,13.44,1.5,0.39,2025-02-25T13:13:16.885776
INV-16537900003,2018-12-24,2665,25,10820000,4610,64996,12,750,14.5,21.75,6,130.5,4.5,1.18,2025-02-25T13:13:16.885776
INV-16539700026,2018-12-26,5385,77,10813000,4610,77776,12,750,10.5,15.75,3,47.25,2.25,0.59,2025-02-25T13:13:16.885776
INV-16573300007,2018-12-27,5309,77,10222000,3950,87509,12,375,8.96,13.44,4,53.76,1.5,0.39,2025-02-25T13:13:16.885776
INV-16604300008,2018-12-28,5222,57,10311000,2550,37889,12,375,2.8,4.2,12,50.4,4.5,1.18,2025-02-25T13:13:16.885776
INV-16626500036,2018-12-29,3813,80,10121000,2600,10807,12,750,15.59,23.39,2,46.78,1.5,0.39,2025-02-25T13:13:16.885776
INV-16642900007,2018-12-31,5651,77,10521000,4200,48105,12,375,10.49,15.74,12,188.88,4.5,1.18,2025-02-25T13:13:16.885776
INV-16676600002,2019-01-02,4829,77,10622000,1540,46939,12,750,12.09,18.14,12,217.68,9.0,2.37,2025-02-25T13:13:16.885776
INV-16703100008,2019-01-03,5623,77,10311000,4340,36302,48,200,1.15,1.73,48,83.04,9.6,2.53,2025-02-25T13:13:16.885776
INV-16728700033,2019-01-04,4617,77,10111000,2600,25607,12,1000,8.0,12.0,4,48.0,4.0,1.05,2025-02-25T13:13:16.885776
INV-16765800027,2019-01-07,4599,77,10411000,3700,32233,48,200,1.99,2.99,1,2.99,0.2,0.05,2025-02-25T13:13:16.885776
INV-16795500024,2019-01-08,4361,77,10311000,3000,36901,6,500,4.7,7.05,1,7.05,0.5,0.13,2025-02-25T13:13:16.885776
INV-16823100006,2019-01-09,4849,77,10311000,3000,36904,24,375,1.8,2.7,96,259.2,36.0,9.51,2025-02-25T13:13:16.885776
INV-16850900015,2019-01-10,4557,86,10625000,650,44350,12,750,6.29,9.44,1,9.44,0.75,0.19,2025-02-25T13:13:16.885776
INV-16874200009,2019-01-11,4617,77,10112000,650,27782,24,375,5.5,8.25,6,49.5,2.25,0.59,2025-02-25T13:13:16.885776
INV-16892700029,2019-01-14,5385,77,10121000,3800,14484,12,750,7.99,11.99,3,34.17,2.25,0.59,2025-02-25T13:13:16.885776
INV-16930500056,2019-01-15,3644,77,10816000,4210,64868,6,1750,15.33,23.0,12,276.0,21.0,5.54,2025-02-25T13:13:16.885776
INV-16960100012,2019-01-16,3909,63,10114000,850,86670,12,750,15.57,23.36,2,46.72,1.5,0.39,2025-02-25T13:13:16.885776
INV-16993800021,2019-01-17,2635,82,10116000,2550,27102,6,750,18.09,27.14,6,162.84,4.5,1.18,2025-02-25T13:13:16.885776
INV-17019200038,2019-01-18,5652,78,10312000,2050,40192,24,375,3.5,5.25,12,63.0,4.5,1.18,2025-02-25T13:13:16.885776
INV-17037300037,2019-01-22,5110,87,10222000,850,87586,12,750,12.17,18.26,3,54.78,2.25,0.59,2025-02-25T13:13:16.885776
INV-17071900011,2019-01-23,5676,77,10312000,2050,40192,24,375,3.5,5.25,24,126.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-17097200012,2019-01-24,4829,77,10221000,4340,89387,12,1000,7.83,11.75,24,282.0,24.0,6.34,2025-02-25T13:13:16.885776
INV-17132500008,2019-01-25,4617,77,10322000,2600,64914,12,750,16.49,24.74,2,49.48,1.5,0.39,2025-02-25T13:13:16.885776
INV-17162600033,2019-01-28,2190,77,10813000,3050,80015,12,750,9.42,14.13,2,28.26,1.5,0.39,2025-02-25T13:13:16.885776
INV-17205200042,2019-01-29,4361,77,10121000,2600,11296,12,750,15.59,23.39,1,23.39,0.75,0.19,2025-02-25T13:13:16.885776
INV-17235200015,2019-01-30,4720,59,10820000,1920,65256,12,750,12.45,18.68,12,224.16,9.0,2.37,2025-02-25T13:13:16.885776
INV-17257900016,2019-01-31,2594,97,10621000,4610,43371,12,750,10.5,15.75,1,15.75,0.75,0.19,2025-02-25T13:13:16.885776
INV-17283500022,2019-02-01,4829,77,10123000,2600,5696,12,750,41.0,61.5,3,184.5,2.25,0.59,2025-02-25T13:13:16.885776
INV-17301500006,2019-02-04,5670,17,10311000,4340,36308,6,1750,7.17,10.76,12,129.12,21.0,5.54,2025-02-25T13:13:16.885776
INV-17332800030,2019-02-05,4361,77,10111000,650,27680,12,500,5.4,8.1,2,16.2,1.0,0.26,2025-02-25T13:13:16.885776
INV-17364000013,2019-02-06,4617,77,10222000,3950,87509,12,375,8.96,13.44,3,40.32,1.12,0.29,2025-02-25T13:13:16.885776
INV-17397500007,2019-02-07,5309,77,10222000,3950,87510,12,750,15.46,23.19,3,69.57,2.25,0.59,2025-02-25T13:13:16.885776
INV-17425200045,2019-02-08,5144,77,10111000,650,15982,6,750,20.99,31.49,6,188.94,4.5,1.18,2025-02-25T13:13:16.885776
INV-17444600018,2019-02-11,2596,90,10322000,3700,34116,12,750,11.49,17.24,2,34.48,1.5,0.39,2025-02-25T13:13:16.885776
INV-17483400034,2019-02-12,5326,11,10222000,650,89837,12,1000,15.0,22.5,12,270.0,12.0,3.17,2025-02-25T13:13:16.885776
INV-17519400062,2019-02-13,2565,21,10112000,850,22215,12,750,22.49,33.74,12,404.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-17551300001,2019-02-14,2552,57,10812000,2600,68031,4,1000,25.25,37.88,1,37.88,1.0,0.26,2025-02-25T13:13:16.885776
INV-17578200010,2019-02-15,5057,77,10121000,1150,11771,10,600,6.8,10.2,3,30.6,1.8,0.47,2025-02-25T13:13:16.885776
INV-17599200013,2019-02-18,4511,77,10112000,650,27783,12,750,10.5,15.75,3,47.25,2.25,0.59,2025-02-25T13:13:16.885776
INV-17631200043,2019-02-19,4361,77,10311000,2600,37993,48,200,2.54,3.81,2,7.62,0.4,0.1,2025-02-25T13:13:16.885776
INV-17663000006,2019-02-20,2190,77,10511000,1150,53218,6,1750,12.0,18.0,6,108.0,10.5,2.77,2025-02-25T13:13:16.885776
INV-17692900001,2019-02-21,4829,77,10322000,650,34255,6,750,12.5,18.75,6,112.5,4.5,1.18,2025-02-25T13:13:16.885776
INV-17717300022,2019-02-22,4110,12,10112000,550,21598,6,1750,9.24,13.86,6,77.22,10.5,2.77,2025-02-25T13:13:16.885776
INV-17736200036,2019-02-25,2190,77,10413000,4340,33717,12,1000,5.42,8.13,3,24.39,3.0,0.79,2025-02-25T13:13:16.885776
INV-17767500019,2019-02-26,4511,77,10322000,2600,64711,12,375,9.25,13.88,12,166.56,4.5,1.18,2025-02-25T13:13:16.885776
INV-17798900016,2019-02-27,2190,77,10311000,2600,37997,12,1000,9.25,13.88,3,41.64,3.0,0.79,2025-02-25T13:13:16.885776
INV-17827300005,2019-02-28,4829,77,10813000,650,73526,12,750,6.5,9.75,12,117.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-17852200026,2019-03-01,2544,64,10311000,209,38581,6,1750,6.5,9.75,6,58.5,10.5,2.77,2025-02-25T13:13:16.885776
INV-17870900007,2019-03-04,2190,77,10222000,260,89164,6,750,64.99,97.49,6,584.94,4.5,1.18,2025-02-25T13:13:16.885776
INV-17909300035,2019-03-05,4361,77,10511000,115,53213,24,200,1.96,2.94,12,35.28,2.4,0.63,2025-02-25T13:13:16.885776
INV-17942800015,2019-03-06,2190,77,10124000,370,15621,10,600,11.88,17.82,1,17.82,0.6,0.15,2025-02-25T13:13:16.885776
INV-17977500002,2019-03-07,2502,77,10521000,389,50686,12,750,7.24,10.86,6,65.16,4.5,1.18,2025-02-25T13:13:16.885776
INV-18004100006,2019-03-08,4829,77,10711000,421,59037,12,1000,3.7,5.55,24,156.96,24.0,6.34,2025-02-25T13:13:16.885776
INV-18027800009,2019-03-11,2636,77,10122000,260,5289,12,1000,14.98,22.47,12,269.64,12.0,3.17,2025-02-25T13:13:16.885776
INV-18065200013,2019-03-12,3825,77,10521000,420,48099,24,200,6.24,9.36,72,673.92,14.4,3.8,2025-02-25T13:13:16.885776
INV-18097800003,2019-03-13,4829,77,10624000,395,46504,12,750,10.45,15.68,3,47.04,2.25,0.59,2025-02-25T13:13:16.885776
INV-18130400008,2019-03-14,2190,77,10624000,260,43331,12,500,4.8,7.2,2,14.4,1.0,0.26,2025-02-25T13:13:16.885776
INV-18155000030,2019-03-15,5144,77,10121000,260,11298,6,1750,31.99,47.99,12,575.88,21.0,5.54,2025-02-25T13:13:16.885776
INV-18173400023,2019-03-18,4617,77,10112000,65,19061,12,500,5.4,8.1,2,16.2,1.0,0.26,2025-02-25T13:13:16.885776
INV-18205300013,2019-03-19,2190,77,10621000,35,43038,6,1750,15.0,22.5,6,135.0,10.5,2.77,2025-02-25T13:13:16.885776
INV-18234800003,2019-03-20,4617,77,10111000,65,22784,24,375,2.09,3.14,24,75.36,9.0,2.37,2025-02-25T13:13:16.885776
INV-18265600062,2019-03-21,3612,49,10624000,260,43285,12,750,9.06,13.59,1,13.59,0.75,0.19,2025-02-25T13:13:16.885776
INV-18290500090,2019-03-22,2626,77,10511000,115,56196,12,750,6.29,9.44,3,28.32,2.25,0.59,2025-02-25T13:13:16.885776
INV-18308000022,2019-03-25,2190,77,10623000,65,44442,6,750,8.2,12.3,1,12.3,0.75,0.19,2025-02-25T13:13:16.885776
INV-18343700001,2019-03-26,4361,77,10321000,370,34001,10,600,7.92,11.88,1,11.88,0.6,0.15,2025-02-25T13:13:16.885776
INV-18376700013,2019-03-27,4617,77,10816000,421,64867,12,1000,11.34,17.01,2,34.02,2.0,0.52,2025-02-25T13:13:16.885776
INV-18409300042,2019-03-28,2635,82,10625000,259,43986,6,1750,11.55,17.33,6,103.98,10.5,2.77,2025-02-25T13:13:16.885776
INV-18434300012,2019-03-29,4250,42,10814000,434,81208,6,1750,7.5,11.25,6,67.5,10.5,2.77,2025-02-25T13:13:16.885776
INV-18454100005,2019-04-01,4829,77,10814000,65,82787,12,1000,7.87,11.81,24,283.44,24.0,6.34,2025-02-25T13:13:16.885776
INV-18490400018,2019-04-02,4377,77,10521000,420,48105,12,375,10.74,16.11,12,193.32,4.5,1.18,2025-02-25T13:13:16.885776
INV-18525100004,2019-04-03,5471,8,10813000,322,75197,6,750,10.0,15.0,6,90.0,4.5,1.18,2025-02-25T13:13:16.885776
INV-18559600079,2019-04-04,3612,49,10111000,260,25608,6,1750,12.96,19.44,2,38.88,3.5,0.92,2025-02-25T13:13:16.885776
INV-18588800051,2019-04-05,2626,77,10311000,434,36304,24,375,1.86,2.79,48,133.92,18.0,4.75,2025-02-25T13:13:16.885776
INV-18610500013,2019-04-08,2539,,10121000,55,12408,6,1750,9.14,13.71,6,73.26,10.5,2.77,2025-02-25T13:13:16.885776
INV-18642700017,2019-04-09,3385,57,10711000,421,59037,12,1000,4.36,6.54,12,66.6,12.0,3.17,2025-02-25T13:13:16.885776
INV-18674300028,2019-04-10,2190,77,10121000,115,11788,6,1750,10.45,15.68,12,188.16,21.0,5.54,2025-02-25T13:13:16.885776
INV-18706400006,2019-04-11,5566,77,10121000,421,11940,12,750,5.0,7.5,3,22.5,2.25,0.59,2025-02-25T13:13:16.885776
INV-18731900006,2019-04-13,4799,77,10624000,260,43336,12,750,9.06,13.59,12,163.08,9.0,2.37,2025-02-25T13:13:16.885776
INV-18754400017,2019-04-15,4617,77,10312000,205,39952,24,375,3.5,5.25,6,31.5,2.25,0.59,2025-02-25T13:13:16.885776
INV-18777200008,2019-04-16,4617,77,10111000,65,22786,12,750,4.0,6.0,12,72.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-18806600024,2019-04-17,2190,77,10112000,65,20247,12,1000,5.0,7.5,2,15.0,2.0,0.52,2025-02-25T13:13:16.885776
INV-18831300015,2019-04-18,5684,7,10112000,65,19064,24,375,5.5,8.25,2,16.5,0.75,0.19,2025-02-25T13:13:16.885776
INV-18850400090,2019-04-19,2629,78,10321000,35,34421,10,600,20.0,30.0,1,30.0,0.6,0.15,2025-02-25T13:13:16.885776
INV-18883100009,2019-04-22,2190,77,10511000,115,53213,24,200,1.96,2.94,24,70.56,4.8,1.26,2025-02-25T13:13:16.885776
INV-18912900011,2019-04-23,5533,77,10624000,259,43028,6,1750,11.55,17.33,6,103.98,10.5,2.77,2025-02-25T13:13:16.885776
INV-18944800050,2019-04-24,2190,77,10121000,260,10804,44,200,4.72,7.08,8,56.64,1.6,0.42,2025-02-25T13:13:16.885776
INV-18970400005,2019-04-25,5425,77,17011000,260,64439,12,375,9.25,13.88,2,27.76,0.75,0.19,2025-02-25T13:13:16.885776
INV-18987700008,2019-04-26,4819,77,10312000,380,39770,12,500,4.4,6.6,12,79.2,6.0,1.58,2025-02-25T13:13:16.885776
INV-19021500013,2019-04-29,2609,85,10111000,260,25616,12,750,7.5,11.25,3,33.75,2.25,0.59,2025-02-25T13:13:16.885776
INV-19048700024,2019-04-30,2665,25,10221000,395,89196,12,750,11.07,16.61,12,199.32,9.0,2.37,2025-02-25T13:13:16.885776
INV-19081000013,2019-05-01,2190,77,10312000,260,77847,12,750,8.25,12.38,2,24.76,1.5,0.39,2025-02-25T13:13:16.885776
INV-19104400014,2019-05-02,5309,77,10321000,260,34164,24,200,5.0,7.5,24,180.0,4.8,1.26,2025-02-25T13:13:16.885776
INV-19123900026,2019-05-03,5676,77,10311000,205,36967,24,200,1.99,2.99,5,14.95,1.0,0.26,2025-02-25T13:13:16.885776
INV-19160100012,2019-05-06,2633,77,10121000,260,11297,12,1000,18.89,28.34,360,10202.4,360.0,95.1,2025-02-25T13:13:16.885776
INV-19188400003,2019-05-07,5179,50,10511000,434,54056,12,750,5.38,8.07,1,8.07,0.75,0.19,2025-02-25T13:13:16.885776
INV-19223700027,2019-05-08,4073,95,10311000,301,38177,12,1000,12.67,19.01,12,228.12,12.0,3.17,2025-02-25T13:13:16.885776
INV-19251000010,2019-05-09,5309,77,10622000,35,43121,12,500,5.54,8.31,12,99.72,6.0,1.58,2025-02-25T13:13:16.885776
INV-19270800013,2019-05-10,4829,77,10312000,380,41696,12,750,6.5,9.75,12,117.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-19308000013,2019-05-13,4829,77,10322000,260,34449,12,750,12.5,18.75,12,225.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-19335200001,2019-05-14,4829,77,10114000,260,26656,12,750,13.5,20.25,12,243.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-19368300030,2019-05-15,4829,77,10311000,301,38178,6,1750,19.0,28.5,6,171.0,10.5,2.77,2025-02-25T13:13:16.885776
INV-19395400057,2019-05-16,4829,77,10312000,380,41604,12,750,6.5,9.75,84,819.0,63.0,16.64,2025-02-25T13:13:16.885776
INV-19413900013,2019-05-17,4169,77,10521000,420,48106,12,750,19.99,29.99,12,359.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-19449000009,2019-05-19,2673,77,10624000,395,46504,12,750,10.45,15.68,12,188.16,9.0,2.37,2025-02-25T13:13:16.885776
INV-19450000033,2019-05-20,5245,77,10321000,35,34359,12,200,4.67,7.01,3,21.03,0.6,0.15,2025-02-25T13:13:16.885776
INV-19482500036,2019-05-21,2535,77,10624000,260,43316,12,750,11.99,17.99,12,215.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-19518500009,2019-05-22,2190,77,10521000,420,48099,24,200,6.24,9.36,24,224.64,4.8,1.26,2025-02-25T13:13:16.885776
INV-19549600020,2019-05-23,4057,77,10111000,65,22784,24,375,2.09,3.14,24,75.36,9.0,2.37,2025-02-25T13:13:16.885776
INV-19572000005,2019-05-24,5670,17,10121000,115,11777,12,1000,6.63,9.95,24,238.8,24.0,6.34,2025-02-25T13:13:16.885776
INV-19610200003,2019-05-28,4617,77,10521000,65,47786,12,750,16.79,25.19,2,50.38,1.5,0.39,2025-02-25T13:13:16.885776
INV-19642600079,2019-05-29,2538,7,10311000,421,36978,6,1750,6.92,10.38,6,62.28,10.5,2.77,2025-02-25T13:13:16.885776
INV-19673800023,2019-05-30,4829,77,10312000,260,77741,12,1000,9.25,13.88,24,333.12,24.0,6.34,2025-02-25T13:13:16.885776
INV-19700500028,2019-05-31,4436,85,10221000,395,89191,12,500,11.5,17.25,1,17.25,0.5,0.13,2025-02-25T13:13:16.885776
INV-19741900002,2019-06-01,3814,25,10311000,803,936600,6,1750,7.74,11.61,2700,31347.0,4725.0,1248.21,2025-02-25T13:13:16.885776
INV-19742200023,2019-06-03,5417,57,10321000,370,34004,24,375,4.99,7.49,3,22.47,1.12,0.29,2025-02-25T13:13:16.885776
INV-19771100016,2019-06-04,2513,52,10625000,370,42717,12,1000,10.99,16.49,1,16.49,1.0,0.26,2025-02-25T13:13:16.885776
INV-19804800025,2019-06-05,2685,41,10114000,85,26828,6,1750,30.68,46.02,3,138.06,5.25,1.38,2025-02-25T13:13:16.885776
INV-19829900002,2019-06-06,5307,77,10312000,205,40071,12,750,7.5,11.25,12,135.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-19849100041,2019-06-07,2190,77,10711000,285,56957,12,1000,5.28,7.92,3,23.76,3.0,0.79,2025-02-25T13:13:16.885776
INV-19883300004,2019-06-10,4571,12,10121000,115,11788,6,1750,10.45,15.68,24,376.32,42.0,11.09,2025-02-25T13:13:16.885776
INV-19911100007,2019-06-11,2684,95,10112000,65,19068,6,1750,21.0,31.5,6,189.0,10.5,2.77,2025-02-25T13:13:16.885776
INV-19943500022,2019-06-12,2502,77,10311000,229,36258,12,750,5.0,7.5,12,90.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-19967200013,2019-06-13,5309,77,10411000,370,32233,48,200,1.99,2.99,48,143.52,9.6,2.53,2025-02-25T13:13:16.885776
INV-19985500003,2019-06-14,2505,8,10816000,421,64870,48,100,0.9,1.35,96,129.6,9.6,2.53,2025-02-25T13:13:16.885776
INV-20013200036,2019-06-15,5358,91,10312000,380,41693,12,750,6.5,9.75,5,48.75,3.75,0.99,2025-02-25T13:13:16.885776
INV-20018500060,2019-06-17,2190,77,10812000,330,80458,6,1750,11.54,17.31,2,34.62,3.5,0.92,2025-02-25T13:13:16.885776
INV-20046000009,2019-06-18,4829,77,10421000,370,28795,6,750,17.49,26.24,6,157.44,4.5,1.18,2025-02-25T13:13:16.885776
INV-20078000028,2019-06-19,3625,77,10311000,297,35916,12,750,3.37,5.06,12,60.72,9.0,2.37,2025-02-25T13:13:16.885776
INV-20104200018,2019-06-20,5566,77,10111000,65,27782,24,375,5.5,8.25,4,33.0,1.5,0.39,2025-02-25T13:13:16.885776
INV-20120400009,2019-06-21,4509,85,10311000,434,36308,6,1750,7.17,10.76,18,193.68,31.5,8.32,2025-02-25T13:13:16.885776
INV-20154200005,2019-06-24,2190,77,10311000,205,36965,10,500,5.54,8.31,10,83.1,5.0,1.32,2025-02-25T13:13:16.885776
INV-20185400023,2019-06-25,2190,77,10625000,35,43095,12,750,8.25,12.38,2,24.76,1.5,0.39,2025-02-25T13:13:16.885776
INV-20221600025,2019-06-26,2673,77,10311000,301,38174,12,375,5.42,8.13,12,97.56,4.5,1.18,2025-02-25T13:13:16.885776
INV-20249900001,2019-06-27,2190,77,10623000,125,46112,6,750,17.5,26.25,2,52.5,1.5,0.39,2025-02-25T13:13:16.885776
INV-20270900013,2019-06-28,4617,77,10311000,301,38180,5,600,12.8,19.2,1,19.2,0.6,0.15,2025-02-25T13:13:16.885776
INV-20307300012,2019-07-01,4617,77,10311000,380,37348,6,1750,7.6,11.4,6,68.4,10.5,2.77,2025-02-25T13:13:16.885776
INV-20340000009,2019-07-02,4829,77,10622000,434,45278,6,1750,7.84,11.76,6,70.56,10.5,2.77,2025-02-25T13:13:16.885776
INV-20378300015,2019-07-03,2536,77,10311000,229,36989,12,750,3.49,5.24,12,62.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-20405500006,2019-07-04,2190,77,19012000,370,904564,12,750,15.99,23.99,12,287.88,9.0,2.37,2025-02-25T13:13:16.885776
INV-20406400217,2019-07-05,2633,77,10815000,55,86390,12,1000,2.13,3.2,12,38.4,12.0,3.17,2025-02-25T13:13:16.885776
INV-20459600005,2019-07-08,4301,77,10521000,420,48101,10,600,29.88,44.82,3,134.46,1.8,0.47,2025-02-25T13:13:16.885776
INV-20488900009,2019-07-09,2636,77,10222000,461,89139,6,750,21.5,32.25,2,64.5,1.5,0.39,2025-02-25T13:13:16.885776
INV-20520300015,2019-07-10,2535,77,10311000,255,37886,12,750,5.38,8.07,12,96.84,9.0,2.37,2025-02-25T13:13:16.885776
INV-20544800012,2019-07-11,5068,30,10311000,301,38177,12,1000,12.67,19.01,24,456.24,24.0,6.34,2025-02-25T13:13:16.885776
INV-20564500096,2019-07-12,2587,77,10813000,461,77776,12,750,10.5,15.75,12,189.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-20600200005,2019-07-15,2190,77,19012000,978,965815,6,750,12.98,19.47,12,233.64,9.0,2.37,2025-02-25T13:13:16.885776
INV-20630500032,2019-07-16,2190,77,10421000,300,28350,12,750,11.34,17.01,1,17.01,0.75,0.19,2025-02-25T13:13:16.885776
INV-20664900056,2019-07-17,2561,77,10622000,434,45278,6,1750,7.84,11.76,6,70.56,10.5,2.77,2025-02-25T13:13:16.885776
INV-20692600020,2019-07-18,3825,77,10511000,205,52596,12,750,6.5,9.75,12,117.0,9.0,2.37,2025-02-25T13:13:16.885776
INV-20711300031,2019-07-19,2612,25,10312000,380,41693,12,750,6.5,9.75,3,29.25,2.25,0.59,2025-02-25T13:13:16.885776
